#  SN  PRN   Hour          X[km]         Y[km]          Z[km]           T[Ms]
# ===  ===  =====  =============  =============  =============  =============
  174  G10  43.25   -4771.372107   19372.026686   17492.664408      -0.817630
  175  G10  43.50   -5311.190712   19744.628035   16902.527253      -0.821734
  176  G10  43.75   -5827.159159   20111.841421   16279.913468      -0.825840
  177  G10  44.00   -6318.797206   20472.059496   15626.000449      -0.829964
  178  G10  44.25   -6785.729207   20823.665732   14942.027465      -0.834045
  179  G10  44.50   -7227.685009   21165.041439   14229.293391      -0.838159
  180  G10  44.75   -7644.500421   21494.572834   13489.154306      -0.842271
  181  G10  45.00   -8036.117194   21810.658119   12723.020971      -0.846371
  182  G10  45.25   -8402.582567   22111.714536   11932.356177      -0.850505
  183  G10  45.50   -8744.048330   22396.185375   11118.671981      -0.854603
  184  G10  45.75   -9060.769437   22662.546898   10283.526833      -0.858696
  185  G10  46.00   -9353.102180   22909.315150    9428.522579      -0.862823
  186  G10  46.25   -9621.501889   23135.052625    8555.301390      -0.866932
  187  G10  46.50   -9866.520227   23338.374760    7665.542564      -0.871054
  188  G10  46.75  -10088.802033   23517.956221    6760.959267      -0.875145
  189  G10  47.00  -10289.081780   23672.536960    5843.295169      -0.879256
  190  G10  47.25  -10468.179606   23800.928009    4914.321021      -0.883354
  191  G10  47.50  -10626.996999   23902.016988    3975.831154      -0.887451
  192  G10  47.75  -10766.512096   23974.773298    3029.639915      -0.891599
  193  G10  48.00  -10887.774650   24018.252980    2077.578070      -0.895713
  194  G10  48.25  -10991.900690   24031.603209    1121.489127      -0.899841
  195  G10  48.50  -11080.066867   24014.066411     163.225661      -0.903941
  196  G10  48.75  -11153.504559   23964.983976    -795.354422      -0.908073
  197  G10  49.00  -11213.493703   23883.799555   -1752.391617      -0.912199
  198  G10  49.25  -11261.356447   23770.061921   -2706.028582      -0.916339
  199  G10  49.50  -11298.450584   23623.427384   -3654.413880      -0.920445
  200  G10  49.75  -11326.162864   23443.661742   -4595.705741      -0.924548
  201  G10  50.00  -11345.902153   23230.641769   -5528.075790      -0.928620
  202  G10  50.25  -11359.092516   22984.356220   -6449.712750      -0.932732
  203  G10  50.50  -11367.166238   22704.906356   -7358.826128      -0.936797
  204  G10  50.75  -11371.556806   22392.505990   -8253.649838      -0.940887
  205  G10  51.00  -11373.691910   22047.481036   -9132.445797      -0.944976
  206  G10  51.25  -11374.986459   21670.268591   -9993.507435      -0.949023
  207  G10  51.50  -11376.835689   21261.415517  -10835.163171      -0.953092
  208  G10  51.75  -11380.608343   20821.576564  -11655.779769      -0.957142
  209  G10  52.00  -11387.640005   20351.512021  -12453.765661      -0.961209
  210  G10  52.25  -11399.226585   19852.084913  -13227.574138      -0.965304
  211  G10  52.50  -11416.617989   19324.257770  -13975.706464      -0.969385
  212  G10  52.75  -11441.012023   18769.088938  -14696.714881      -0.973489
  213  G10  53.00  -11473.548534   18187.728520  -15389.205491      -0.977587
  214  G10  53.25  -11515.303830   17581.413885  -16051.841041      -0.981680
  215  G10  53.50  -11567.285393   16951.464844  -16683.343556      -0.985819
  216  G10  53.75  -11630.426930   16299.278439  -17282.496865      -0.989994
  217  G10  54.00  -11705.583751   15626.323444  -17848.148973      -0.994093
  218  G10  54.25  -11793.528527   14934.134531  -18379.214308      -0.998191
  219  G10  54.50  -11894.947428   14224.306192  -18874.675809      -1.002316
  220  G10  54.75  -12010.436662   13498.486399  -19333.586871      -1.006446
  221  G10  55.00  -12140.499433   12758.370042  -19755.073142      -1.010565
  222  G10  55.25  -12285.543327   12005.692202  -20138.334152      -1.014700
  223  G10  55.50  -12445.878144   11242.221233  -20482.644796      -1.018820
  224  G10  55.75  -12621.714169   10469.751753  -20787.356641      -1.022960
  225  G10  56.00  -12813.160917    9690.097507  -21051.899089      -1.027077
  226  G10  56.25  -13020.226318    8905.084197  -21275.780356      -1.031199
  227  G10  56.50  -13242.816386    8116.542251  -21458.588302      -1.035338
  228  G10  56.75  -13480.735340    7326.299613  -21599.991083      -1.039463
  229  G10  57.00  -13733.686192    6536.174564  -21699.737646      -1.043623
  230  G10  57.25  -14001.271795    5747.968580  -21757.658049      -1.047756
  231  G10  57.50  -14282.996338    4963.459330  -21773.663628      -1.051896
  232  G10  57.75  -14578.267299    4184.393746  -21747.746985      -1.056011
  233  G10  58.00  -14886.397817    3412.481293  -21679.981829      -1.060152
  234  G10  58.25  -15206.609504    2649.387381  -21570.522642      -1.064279
  235  G10  58.50  -15538.035653    1896.727028  -21419.604196      -1.068408
  236  G10  58.75  -15879.724856    1156.058718  -21227.540909      -1.072539
  237  G10  59.00  -16230.644985     428.878556  -20994.726047      -1.076657
  238  G10  59.25  -16589.687541    -283.385307  -20721.630779      -1.080767
  239  G10  59.50  -16955.672346    -979.377944  -20408.803079      -1.084922
  240  G10  59.75  -17327.352544   -1657.822574  -20056.866491      -1.089051
  241  G10  60.00  -17703.419905   -2317.525154  -19666.518746      -1.093182
  242  G10  60.25  -18082.510396   -2957.378581  -19238.530250      -1.097324
  243  G10  60.50  -18463.210005   -3576.366537  -18773.742434      -1.101465
  244  G10  60.75  -18844.060776   -4173.566896  -18273.065983      -1.105583
